city,Zipcode
Raleigh,27613
Raleigh,27609
Raleigh,27617
Raleigh,27615
Raleigh,27616
Raleigh,27612
Raleigh,27614
Raleigh,27604
Raleigh,27675
Raleigh,27698
Raleigh,27699
Raleigh,27624
Raleigh,27623
Raleigh,27622
Raleigh,27621
Raleigh,27620
Raleigh,27625
Raleigh,27619
Raleigh,27602
Raleigh,27603
Raleigh,27607
Raleigh,27606
Raleigh,27608
Raleigh,27605
Raleigh,27611
Raleigh,27626
Raleigh,27627
Raleigh,27628
Raleigh,27697
Raleigh,27695
Raleigh,27690
Raleigh,27676
Raleigh,27668
Raleigh,27661
Raleigh,27658
Raleigh,27656
Raleigh,27650
Raleigh,27640
Raleigh,27636
Raleigh,27635
Raleigh,27634
Raleigh,27629
Raleigh,27601
Raleigh,27610
