city,zip_code
Apex,27523
Apex,27539
Apex,27502
Bahama,27503
Butner,27509
Bynum,27228
Carrboro,27510
Cary,27519
Cary,27513
Cary,27511
Cary,27512
Cary,27518
Chapel Hill,27516
Chapel Hill,27515
Chapel Hill,27599
Chapel Hill,27514
Chapel Hill,27517
Creedmoor,27564
Creedmoor,27522
Durham,27702
Durham,27711
Durham,27706
Durham,27708
Durham,27710
Durham,27715
Durham,27717
Durham,27722
Durham,27701
Durham,27705
Durham,27704
Durham,27703
Durham,27712
Durham,27713
Durham,27709
Durham,27707
Fuquay Varina,27526
Garner,27529
Hillsborough,27278
Holly Springs,27540
Knightdale,27545
Moncure,27559
Morrisville,27560
New Hill,27562
Pittsboro,27312
Raleigh,27613
Raleigh,27609
Raleigh,27617
Raleigh,27615
Raleigh,27616
Raleigh,27612
Raleigh,27614
Raleigh,27604
Raleigh,27675
Raleigh,27698
Raleigh,27699
Raleigh,27624
Raleigh,27623
Raleigh,27622
Raleigh,27621
Raleigh,27620
Raleigh,27625
Raleigh,27619
Raleigh,27602
Raleigh,27603
Raleigh,27607
Raleigh,27606
Raleigh,27608
Raleigh,27605
Raleigh,27611
Raleigh,27626
Raleigh,27627
Raleigh,27628
Raleigh,27697
Raleigh,27695
Raleigh,27690
Raleigh,27676
Raleigh,27668
Raleigh,27661
Raleigh,27658
Raleigh,27656
Raleigh,27650
Raleigh,27640
Raleigh,27636
Raleigh,27635
Raleigh,27634
Raleigh,27629
Raleigh,27601
Raleigh,27610
Rolesville,27571
Stem,27581
Wake Forest,27587
Wake Forest,27588
Willow Spring,27592
Youngsville,27596
